id_district;male_population;female_population;total_population
4;51142;55506;106648
4;51415;55629;107044
4;51660;55727;107387
4;51882;55800;107682
4;52085;55850;107935
4;52273;55877;108150
4;52427;55880;108307
4;52580;55877;108457
4;52739;55868;108607
4;52911;55855;108766
4;53103;55838;108941
