id_district;male_population;female_population;total_population
6;377090;416854;793944
6;381637;421238;802875
6;386053;425467;811520
6;390355;429557;819912
6;394566;433530;828096
6;398713;437411;836124
6;402653;441069;843722
6;406597;444702;851299
6;410586;448349;858935
6;414666;452053;866719
6;418890;455865;874755
